elapsed_host_seconds,touch_state,serial_message
18.883,0,No touch detected...
18.883,0,No touch detected...
18.883,0,No touch detected...
18.883,0,No touch detected...
19.088,0,No touch detected...
19.088,0,No touch detected...
19.088,0,No touch detected...
19.088,0,No touch detected...
19.293,0,No touch detected...
19.293,0,No touch detected...
19.293,0,No touch detected...
19.293,0,No touch detected...
19.498,0,No touch detected...
19.499,0,No touch detected...
19.499,0,No touch detected...
19.499,0,No touch detected...
19.699,0,No touch detected...
19.700,0,No touch detected...
19.700,0,No touch detected...
19.700,0,No touch detected...
19.900,0,No touch detected...
19.900,0,No touch detected...
19.900,0,No touch detected...
19.900,0,No touch detected...
20.102,0,No touch detected...
20.102,0,No touch detected...
20.102,0,No touch detected...
20.102,0,No touch detected...
20.102,0,No touch detected...
20.302,0,No touch detected...
20.302,0,No touch detected...
20.302,0,No touch detected...
20.302,0,No touch detected...
20.503,0,No touch detected...
20.503,0,No touch detected...
20.503,0,No touch detected...
20.503,0,No touch detected...
20.703,0,No touch detected...
20.703,0,No touch detected...
20.703,0,No touch detected...
20.703,0,No touch detected...
20.904,0,No touch detected...
20.904,0,No touch detected...
20.904,0,No touch detected...
20.904,0,No touch detected...
21.105,0,No touch detected...
21.105,0,No touch detected...
21.105,0,No touch detected...
21.105,0,No touch detected...
21.306,0,No touch detected...
21.306,0,No touch detected...
21.306,0,No touch detected...
21.306,0,No touch detected...
21.507,0,No touch detected...
21.507,0,No touch detected...
21.507,0,No touch detected...
21.507,0,No touch detected...
21.708,0,No touch detected...
21.708,0,No touch detected...
21.708,0,No touch detected...
21.708,0,No touch detected...
21.910,0,No touch detected...
21.910,0,No touch detected...
21.910,0,No touch detected...
21.910,0,No touch detected...
22.112,0,No touch detected...
22.112,0,No touch detected...
22.112,0,No touch detected...
22.112,0,No touch detected...
22.314,0,No touch detected...
22.314,0,No touch detected...
22.315,0,No touch detected...
22.315,0,No touch detected...
22.517,0,No touch detected...
22.517,0,No touch detected...
22.517,0,No touch detected...
22.517,0,No touch detected...
22.719,0,No touch detected...
22.720,0,No touch detected...
22.720,0,No touch detected...
22.720,0,No touch detected...
22.924,0,No touch detected...
22.924,0,No touch detected...
22.924,0,No touch detected...
22.924,0,No touch detected...
23.129,0,No touch detected...
23.129,0,No touch detected...
23.129,0,No touch detected...
23.129,0,No touch detected...
23.333,0,No touch detected...
23.333,0,No touch detected...
23.333,0,No touch detected...
23.333,0,No touch detected...
23.539,0,No touch detected...
23.539,0,No touch detected...
23.539,0,No touch detected...
23.539,0,No touch detected...
23.744,0,No touch detected...
23.744,0,No touch detected...
23.744,0,No touch detected...
23.744,0,No touch detected...
23.949,0,No touch detected...
23.949,0,No touch detected...
23.949,0,No touch detected...
23.949,0,No touch detected...
24.152,0,No touch detected...
24.152,0,No touch detected...
24.152,0,No touch detected...
24.152,0,No touch detected...
24.152,0,No touch detected...
24.352,0,No touch detected...
24.352,0,No touch detected...
24.352,0,No touch detected...
24.352,0,No touch detected...
24.553,0,No touch detected...
24.553,0,No touch detected...
24.553,0,No touch detected...
24.553,0,No touch detected...
24.753,0,No touch detected...
24.753,0,No touch detected...
24.753,0,No touch detected...
24.753,0,No touch detected...
24.954,0,No touch detected...
24.954,0,No touch detected...
24.954,0,No touch detected...
24.954,0,No touch detected...
25.155,0,No touch detected...
25.155,0,No touch detected...
25.155,0,No touch detected...
25.155,0,No touch detected...
25.356,0,No touch detected...
25.356,0,No touch detected...
25.356,0,No touch detected...
25.356,0,No touch detected...
25.557,0,No touch detected...
25.557,0,No touch detected...
25.557,0,No touch detected...
25.557,0,No touch detected...
25.757,0,No touch detected...
25.757,0,No touch detected...
25.757,0,No touch detected...
25.757,0,No touch detected...
25.958,0,No touch detected...
25.958,0,No touch detected...
25.958,0,No touch detected...
25.958,0,No touch detected...
26.160,0,No touch detected...
26.160,0,No touch detected...
26.160,0,No touch detected...
26.160,0,No touch detected...
26.362,0,No touch detected...
26.362,0,No touch detected...
26.362,0,No touch detected...
26.362,0,No touch detected...
26.564,0,No touch detected...
26.565,0,No touch detected...
26.565,0,No touch detected...
26.565,0,No touch detected...
26.768,0,No touch detected...
26.768,0,No touch detected...
26.768,0,No touch detected...
26.768,0,No touch detected...
26.972,0,No touch detected...
26.972,0,No touch detected...
26.972,0,No touch detected...
26.972,0,No touch detected...
27.178,0,No touch detected...
27.178,0,No touch detected...
27.178,0,No touch detected...
27.178,0,No touch detected...
27.383,0,No touch detected...
27.383,0,No touch detected...
27.383,0,No touch detected...
27.383,0,No touch detected...
27.584,0,No touch detected...
27.584,0,No touch detected...
27.584,0,No touch detected...
27.584,0,No touch detected...
27.789,0,No touch detected...
27.790,0,No touch detected...
27.790,0,No touch detected...
27.790,0,No touch detected...
27.991,0,No touch detected...
27.991,0,No touch detected...
27.991,0,No touch detected...
27.991,0,No touch detected...
28.196,0,No touch detected...
28.196,0,No touch detected...
28.196,0,No touch detected...
28.196,0,No touch detected...
28.399,0,No touch detected...
28.400,0,No touch detected...
28.400,0,No touch detected...
28.400,0,No touch detected...
28.602,0,No touch detected...
28.602,0,No touch detected...
28.602,0,No touch detected...
28.602,0,No touch detected...
28.602,0,No touch detected...
28.802,0,No touch detected...
28.803,0,No touch detected...
28.803,0,No touch detected...
28.803,0,No touch detected...
