elapsed_seconds,adc
28.825,0
28.825,0
29.028,0
29.028,0
29.233,0
29.233,0
29.438,0
29.438,0
29.643,0
29.643,0
29.849,0
29.849,0
30.054,0
30.054,0
30.257,0
30.257,0
30.460,0
30.460,0
30.666,0
30.666,0
30.868,0
30.868,0
31.069,0
31.069,0
31.274,0
31.274,0
31.480,0
31.480,0
31.685,0
31.685,0
31.886,0
31.886,0
32.088,0
32.088,0
32.289,0
32.289,0
32.491,0
32.491,0
32.697,0
32.697,0
32.900,0
32.901,0
32.901,0
33.101,0
33.101,0
33.301,0
33.301,0
33.501,0
33.501,0
33.702,0
33.702,0
33.902,0
33.902,0
34.103,0
34.103,0
34.304,0
34.304,0
34.505,0
34.505,0
34.706,0
34.706,0
34.908,0
34.908,0
35.110,0
35.110,0
35.313,0
35.313,0
35.514,0
35.514,0
35.718,0
35.718,0
35.921,0
35.921,0
36.125,0
36.125,0
36.330,0
36.330,0
36.535,0
36.535,0
36.736,0
36.736,0
36.939,0
36.939,0
37.143,0
37.144,0
37.347,0
37.347,0
37.552,0
37.552,0
37.758,0
37.758,0
37.960,0
37.960,0
38.160,0
38.160,0
38.365,0
38.365,0
38.570,0
38.570,0
38.770,0
38.770,0
38.975,0
38.975,0
39.177,0
39.177,0
39.377,0
39.377,0
39.582,0
39.582,0
39.786,0
39.787,0
39.992,0
39.992,0
40.195,0
40.195,0
40.401,0
40.401,0
40.401,0
40.601,0
40.601,0
40.801,0
40.801,0
41.002,0
41.002,0
41.203,0
41.203,0
41.403,0
41.403,0
41.604,0
41.604,0
41.806,0
41.806,0
42.007,0
42.007,0
42.208,0
42.208,0
42.410,0
42.410,0
42.613,0
42.613,0
42.816,0
42.816,0
43.019,0
43.019,0
43.219,0
43.219,0
43.424,0
43.424,0
43.629,0
43.629,0
43.835,0
43.835,0
44.040,0
44.040,0
44.241,0
44.241,0
44.446,0
44.446,0
44.651,0
44.651,0
44.856,0
44.856,0
45.061,0
45.061,0
45.266,0
45.266,0
45.471,0
45.471,0
45.676,0
45.676,0
45.881,0
45.881,0
46.084,0
46.084,0
46.289,0
46.289,0
46.495,0
46.495,0
46.695,0
46.695,0
46.900,0
46.900,0
47.101,0
47.101,0
47.101,0
47.301,0
47.301,0
47.501,0
47.501,0
47.702,0
47.702,0
47.902,0
47.902,0
48.103,0
48.103,0
48.304,0
48.304,0
48.505,0
48.505,0
